Mode,control_type,control_hour,control_hour_label,case_hour,case_hour_label,MH_numerator,MH_denominator,strata_count,min_cluster_or,max_cluster_or,MH_OR,A,B,C,D,collapsed_paired_rows,collapsed_pooled_OR,abs_pct_diff_vs_collapsed
Cyclists,Dark,0,00:00-00:59,20,20:00-20:59,11156.697170903462,8779.074021311768,3,0.7296132602821797,1.468205844193916,1.2708284659429445,72715,148139,17540,48589,13542,1.3597622242255156,6.540390422540633
Cyclists,Dark,1,01:00-01:59,5,05:00-05:59,9790.419147294077,6730.6732061186585,3,0.5968547621129062,3.0880770100456836,1.4545973110674038,53051,58383,19049,35098,13542,1.6742386179570847,13.118877114284256
Cyclists,Dark,1,01:00-01:59,6,06:00-06:59,14002.36060352743,6269.68165323508,3,1.0256688675235643,4.193360823768338,2.2333447498568204,192960,64350,28242,25905,13542,2.750469840335977,18.801336516963534
Cyclists,Dark,1,01:00-01:59,17,17:00-17:59,11200.202991394362,5316.605974540629,3,1.4691235574991688,2.428290688548562,2.1066453005972456,483330,81538,38350,15797,13542,2.441703622690863,13.722317441801904
Cyclists,Dark,1,01:00-01:59,18,18:00-18:59,12607.461233860924,8954.848879370335,3,0.9225757580735031,1.6889356294021622,1.4078921267900857,253845,139233,29371,24776,13542,1.5379382264964705,8.455872769522012
Cyclists,Dark,1,01:00-01:59,19,19:00-19:59,11635.062365918668,8870.264382550544,3,1.0242181817760854,1.4281749004934314,1.3116928497426392,136791,147848,21030,33117,13542,1.4569806560402112,9.971841815143645
Cyclists,Dark,1,01:00-01:59,20,20:00-20:59,9193.413268230515,7428.789591910663,3,0.760425211807061,1.4861566829769166,1.2375385188242702,72715,148139,14330,39817,13542,1.3638824609317228,9.263550615728423
Cyclists,Dark,2,02:00-02:59,5,05:00-05:59,9652.54535526103,6239.337549155552,3,0.5959471187061042,2.9152583316825402,1.5470465060135885,53051,58383,17568,35564,13542,1.8394815918948384,15.897690260657315
Cyclists,Dark,2,02:00-02:59,6,06:00-06:59,14044.52912050266,5939.715056828892,3,1.1949995606056092,3.897487410339316,2.3645122680345243,192960,64350,26519,26613,13542,3.009230326218115,21.424683001711188
Cyclists,Dark,2,02:00-02:59,17,17:00-17:59,11814.035868471092,5058.605854310377,3,1.7594471821662938,2.625931018002529,2.335433162558644,483330,81538,36303,16829,13542,2.7478909417567614,15.009976303296375
Cyclists,Dark,2,02:00-02:59,18,18:00-18:59,12854.680330569361,8362.779696445727,3,1.0300677415709814,1.8511163344562938,1.5371300927647544,253845,139233,27546,25586,13542,1.6934418375427285,9.230417089776786
Cyclists,Dark,2,02:00-02:59,19,19:00-19:59,11639.201297767584,8157.772347820827,3,1.0553061564962678,1.618143331843227,1.426762209278409,136791,147848,19453,33679,13542,1.6018235395303801,10.92887736581118
Cyclists,Dark,2,02:00-02:59,20,20:00-20:59,9160.648603187377,6593.095306557699,3,0.7505097822021686,1.8246492234224627,1.3894306357251534,72715,148139,12779,40353,13542,1.5500066344410235,10.35969751018378
Cyclists,Dark,23,23:00-23:59,5,05:00-05:59,15685.812212691268,9330.583658402698,3,0.5221668759871251,3.9518067779077333,1.6811180079356192,53051,58383,33571,62579,13542,1.693836582186614,0.7508737492595686
Cyclists,Dark,23,23:00-23:59,6,06:00-06:59,23429.340220040325,9683.181995031464,3,0.9965574975596698,5.3259609365496114,2.4195910220484063,192960,64350,51009,45141,13542,2.653646723799029,8.820153023818577
Cyclists,Dark,23,23:00-23:59,17,17:00-17:59,15072.81901220607,9385.465147936984,3,1.4745857560392397,1.6362625280711887,1.6059746400015789,483330,81538,73906,22244,13542,1.7840905235815663,9.983567606335319
Cyclists,Dark,23,23:00-23:59,18,18:00-18:59,19981.1748592246,15450.746692440542,3,0.842257134931811,1.4789754048025898,1.2932174254724098,253845,139233,55163,40987,13542,1.3546424708056526,4.534410123485291
Cyclists,Dark,23,23:00-23:59,19,19:00-19:59,19357.37948615769,14618.940972385499,3,0.8911360339890898,1.6396469551322392,1.3241300804704361,136791,147848,38421,57729,13542,1.3901684910254908,4.750388962300524
Cyclists,Dark,23,23:00-23:59,20,20:00-20:59,15249.823486073945,11896.992300680322,3,0.6968002127784901,1.5805936642391432,1.2818217496199953,72715,148139,25915,70235,13542,1.3303226131265278,3.6457971192826397
